"Station.ID","Date.EST","param","Units","HalfMDL","source"
"PI-02",2005-09-13,"TKN","mg/L",0.74,"Lee County"
"PI-02",2005-09-13,"TN","mg/L",0.75,"Lee County"
"PI-02",2005-09-13,"TOC","mg/L",10.3,"Lee County"
"PI-02",2005-09-13,"TP","mg/L",0.07,"Lee County"
"PI-02",2005-09-13,"TSS","mg/L",13,"Lee County"
"PI-02",2005-09-13,"Turb","NTU",1.69,"Lee County"
"PI-02",2005-10-11,"Chla","ug/L",1.7,"Lee County"
"PI-02",2005-10-11,"color","PCU",27.4,"Lee County"
"PI-02",2005-10-11,"DO.mgL","mg/L",5,"Lee County"
"PI-02",2005-10-11,"K.par","1/m",1.23,"Lee County"
"PI-02",2005-10-11,"NOx","mg/L",0.04,"Lee County"
"PI-02",2005-10-11,"Pheo","ug/L",5.2,"Lee County"
"PI-02",2005-10-11,"sal","PSU",21,"Lee County"
"PI-02",2005-10-11,"secchi","meters",1.7,"Lee County"
"PI-02",2005-10-11,"SPC","uS/cm",33600,"Lee County"
"PI-02",2005-10-11,"TKN","mg/L",0.64,"Lee County"
"PI-02",2005-10-11,"TN","mg/L",0.68,"Lee County"
"PI-02",2005-10-11,"TOC","mg/L",7.51,"Lee County"
"PI-02",2005-10-11,"TP","mg/L",0.07,"Lee County"
"PI-02",2005-10-11,"TSS","mg/L",17,"Lee County"
"PI-02",2005-10-11,"Turb","NTU",1.02,"Lee County"
"PI-02",2005-11-15,"Chla","ug/L",1,"Lee County"
"PI-02",2005-11-15,"color","PCU",94.9,"Lee County"
"PI-02",2005-11-15,"DO.mgL","mg/L",6.8,"Lee County"
"PI-02",2005-11-15,"K.par","1/m",3.96,"Lee County"
"PI-02",2005-11-15,"NOx","mg/L",0.33,"Lee County"
"PI-02",2005-11-15,"Pheo","ug/L",4.8,"Lee County"
"PI-02",2005-11-15,"sal","PSU",4,"Lee County"
"PI-02",2005-11-15,"secchi","meters",0.6,"Lee County"
"PI-02",2005-11-15,"SPC","uS/cm",7720,"Lee County"
"PI-02",2005-11-15,"TKN","mg/L",0.45,"Lee County"
"PI-02",2005-11-15,"TN","mg/L",0.78,"Lee County"
"PI-02",2005-11-15,"TOC","mg/L",15.6,"Lee County"
"PI-02",2005-11-15,"TP","mg/L",0.12,"Lee County"
"PI-02",2005-11-15,"TSS","mg/L",14.3,"Lee County"
"PI-02",2005-11-15,"Turb","NTU",3.6,"Lee County"
"PI-02",2005-12-20,"Chla","ug/L",1.9,"Lee County"
"PI-02",2005-12-20,"color","PCU",51.4,"Lee County"
"PI-02",2005-12-20,"DO.mgL","mg/L",7.7,"Lee County"
"PI-02",2005-12-20,"NOx","mg/L",0.25,"Lee County"
"PI-02",2005-12-20,"Pheo","ug/L",1,"Lee County"
"PI-02",2005-12-20,"sal","PSU",11,"Lee County"
"PI-02",2005-12-20,"secchi","meters",0.9,"Lee County"
"PI-02",2005-12-20,"SPC","uS/cm",18900,"Lee County"
"PI-02",2005-12-20,"TKN","mg/L",1.07,"Lee County"
"PI-02",2005-12-20,"TN","mg/L",1.3,"Lee County"
"PI-02",2005-12-20,"TOC","mg/L",11.6,"Lee County"
"PI-02",2005-12-20,"TP","mg/L",0.08,"Lee County"
"PI-02",2005-12-20,"TSS","mg/L",8.2,"Lee County"
"PI-02",2005-12-20,"Turb","NTU",2.6,"Lee County"
"PI-02",2006-01-10,"Chla","ug/L",1,"Lee County"
"PI-02",2006-01-10,"color","PCU",28.8,"Lee County"
"PI-02",2006-01-10,"DO.mgL","mg/L",9.2,"Lee County"
"PI-02",2006-01-10,"K.par","1/m",2.01,"Lee County"
"PI-02",2006-01-10,"NOx","mg/L",0.25,"Lee County"
"PI-02",2006-01-10,"Pheo","ug/L",1.5,"Lee County"
"PI-02",2006-01-10,"sal","PSU",13.1,"Lee County"
"PI-02",2006-01-10,"secchi","meters",1.2,"Lee County"
"PI-02",2006-01-10,"SPC","uS/cm",21600,"Lee County"
"PI-02",2006-01-10,"TKN","mg/L",0.69,"Lee County"
"PI-02",2006-01-10,"TN","mg/L",0.94,"Lee County"
"PI-02",2006-01-10,"TOC","mg/L",10.4,"Lee County"
"PI-02",2006-01-10,"TP","mg/L",0.06,"Lee County"
"PI-02",2006-01-10,"TSS","mg/L",6,"Lee County"
"PI-02",2006-01-10,"Turb","NTU",1.9,"Lee County"
"PI-02",2006-02-21,"Chla","ug/L",2.2,"Lee County"
"PI-02",2006-02-21,"color","PCU",32.2,"Lee County"
"PI-02",2006-02-21,"DO.mgL","mg/L",7.6,"Lee County"
"PI-02",2006-02-21,"K.par","1/m",1.09,"Lee County"
"PI-02",2006-02-21,"NOx","mg/L",0.005,"Lee County"
"PI-02",2006-02-21,"Pheo","ug/L",1.2,"Lee County"
"PI-02",2006-02-21,"sal","PSU",16.7,"Lee County"
"PI-02",2006-02-21,"secchi","meters",1.3,"Lee County"
"PI-02",2006-02-21,"SPC","uS/cm",27200,"Lee County"
"PI-02",2006-02-21,"TKN","mg/L",0.36,"Lee County"
"PI-02",2006-02-21,"TN","mg/L",0.36,"Lee County"
"PI-02",2006-02-21,"TOC","mg/L",9.27,"Lee County"
"PI-02",2006-02-21,"TP","mg/L",0.03,"Lee County"
"PI-02",2006-02-21,"TSS","mg/L",5.8,"Lee County"
